Player,Conference,Team,Position,RecYds,RushYds,TDs
Saquon Barkley,NFC,PHI,RB,278,2005,15
Derrick Henry,AFC,BAL,RB,193,1921,18
Jahmyr Gibbs,NFC,DET,RB,517,1412,20
Bijan Robinson,NFC,ATL,RB,431,1456,15
Ja'Marr Chase,AFC,CIN,WR,1708,32,17
Josh Jacobs,NFC,GNB,RB,342,1329,16
Jonathan Taylor,AFC,IND,RB,136,1431,12
Aaron Jones,NFC,MIN,RB,408,1138,7
Justin Jefferson,NFC,MIN,WR,1533,3,10
Bucky Irving,NFC,TAM,RB,392,1122,8
James Conner,NFC,ARI,RB,414,1094,9
De'Von Achane,AFC,MIA,RB,592,907,12
Alvin Kamara,NFC,NOR,RB,543,950,8
Kyren Williams,NFC,LAR,RB,182,1299,16
Chuba Hubbard,NFC,CAR,RB,171,1195,11
Breece Hall,AFC,NYJ,RB,483,876,8
Chase Brown,AFC,CIN,RB,360,990,11
D'Andre Swift,NFC,CHI,RB,386,959,6
Brian Thomas,AFC,JAX,WR,1282,48,10
Rico Dowdle,NFC,DAL,RB,249,1079,5
Najee Harris,AFC,PIT,RB,283,1043,6
Joe Mixon,AFC,HOU,RB,309,1016,12
Tony Pollard,AFC,TEN,RB,238,1079,5
Amon-Ra St. Brown,NFC,DET,WR,1263,6,12
Drake London,NFC,ATL,WR,1271,-3,9
James Cook,AFC,BUF,RB,258,1009,18
CeeDee Lamb,NFC,DAL,WR,1194,70,6
Jerry Jeudy,AFC,CLE,WR,1229,0,4
Brock Bowers,AFC,LVR,TE,1194,13,5
Malik Nabers,NFC,NYG,WR,1204,2,7
Jaxon Smith-Njigba,NFC,SEA,WR,1130,26,6
Ladd McConkey,AFC,LAC,WR,1149,0,7
Trey McBride,NFC,ARI,TE,1146,2,3
Tyrone Tracy Jr.,NFC,NYG,RB,284,839,6
David Montgomery,NFC,DET,RB,341,775,12
Zay Flowers,AFC,BAL,WR,1059,56,4
Garrett Wilson,AFC,NYJ,WR,1104,5,7
George Kittle,NFC,SFO,TE,1106,0,8
